,County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income,Total:,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
34,New York,10038,233,184,16,"$95,702 ",100.00%,20.19%,19.61%,60.21%,53.09%,9.33%,0.25%,29.77%,0.00%,2.56%,5.00%,0.38%,4.62%
35,New York,10039,"1,312","1,024",250,"$42,278 ",100.00%,24.25%,16.02%,59.73%,14.18%,62.51%,0.44%,1.59%,0.04%,15.54%,5.70%,1.06%,4.65%
36,New York,10040,"1,255","1,020",330,"$49,677 ",100.00%,34.93%,37.41%,27.67%,36.81%,9.85%,0.88%,2.98%,0.00%,42.49%,6.99%,2.11%,4.88%
37,New York,10044,155,125,5,"$104,808 ",100.00%,34.72%,17.85%,47.43%,42.93%,12.60%,0.00%,34.28%,0.00%,4.61%,5.58%,2.33%,3.25%
38,New York,10065,197,168,34,"$148,441 ",100.00%,21.45%,5.52%,73.03%,84.14%,2.34%,0.03%,11.46%,0.00%,0.55%,1.48%,0.11%,1.37%
39,New York,10069,83,68,19,"$132,500 ",100.00%,26.89%,13.21%,59.90%,63.03%,3.77%,0.00%,29.33%,0.00%,0.00%,3.87%,0.78%,3.09%
40,New York,10075,128,105,21,"$138,640 ",100.00%,26.33%,5.07%,68.60%,82.71%,3.17%,1.28%,6.11%,0.00%,3.44%,3.30%,0.00%,3.30%
41,New York,10128,453,350,71,"$121,829 ",100.00%,26.15%,4.71%,69.13%,79.25%,3.56%,0.04%,9.91%,0.00%,3.16%,4.07%,0.94%,3.13%
42,New York,10162,13,12,1,,100.00%,21.74%,0.00%,78.26%,91.86%,0.00%,0.00%,4.85%,0.00%,0.00%,3.30%,0.00%,3.30%
43,New York,10280,64,50,8,"$182,760 ",100.00%,30.72%,4.83%,64.45%,75.15%,2.67%,0.98%,16.53%,0.00%,0.08%,4.58%,0.00%,4.58%
44,New York,10282,17,16,,"$250,001 ",100.00%,20.18%,6.51%,73.31%,75.53%,0.99%,0.00%,19.89%,0.00%,0.24%,3.35%,0.00%,3.35%
45,Richmond,10301,829,676,179,"$62,052 ",100.00%,19.92%,11.29%,68.79%,60.16%,23.57%,0.15%,6.32%,0.02%,5.16%,4.62%,0.55%,4.06%
46,Richmond,10302,310,261,74,"$66,096 ",100.00%,27.88%,12.28%,59.84%,58.42%,21.98%,1.26%,9.43%,0.11%,5.93%,2.88%,1.15%,1.73%
47,Richmond,10303,519,411,84,"$67,215 ",100.00%,31.26%,13.14%,55.60%,46.80%,34.28%,0.12%,7.73%,0.00%,8.01%,3.05%,0.46%,2.60%
48,Richmond,10304,886,677,180,"$54,199 ",100.00%,25.36%,13.86%,60.78%,51.15%,29.00%,0.25%,11.07%,0.10%,6.95%,1.49%,0.47%,1.02%
49,Richmond,10305,385,306,72,"$79,742 ",100.00%,27.25%,19.48%,53.27%,71.18%,7.39%,0.33%,14.89%,0.04%,3.95%,2.23%,0.15%,2.08%
50,Richmond,10306,423,348,96,"$80,834 ",100.00%,20.48%,12.66%,66.86%,83.65%,3.43%,0.06%,7.33%,0.00%,2.43%,3.10%,0.47%,2.63%
51,Richmond,10308,125,97,24,"$103,027 ",100.00%,13.88%,7.73%,78.39%,92.54%,1.19%,0.09%,4.99%,0.00%,0.66%,0.52%,0.08%,0.44%
52,Richmond,10310,382,300,88,"$76,075 ",100.00%,22.99%,10.95%,66.05%,59.93%,21.42%,0.26%,5.73%,0.00%,9.03%,3.63%,1.08%,2.55%
53,Richmond,10312,218,179,57,"$97,407 ",100.00%,13.23%,6.44%,80.33%,91.62%,0.91%,0.15%,5.34%,0.09%,0.86%,1.03%,0.02%,1.01%
54,Bronx,10451,"2,607","1,991",520,"$30,349 ",100.00%,32.02%,28.63%,39.35%,14.01%,39.73%,0.31%,1.36%,0.00%,39.39%,5.20%,2.09%,3.11%
55,Bronx,10453,"4,411","3,568","1,008","$29,136 ",100.00%,34.98%,35.93%,29.09%,9.54%,33.61%,0.56%,1.49%,0.00%,51.38%,3.42%,1.40%,2.02%
56,Bronx,10455,"1,943","1,503",421,"$28,585 ",100.00%,39.28%,31.16%,29.57%,13.93%,30.39%,0.88%,0.93%,0.26%,50.36%,3.24%,1.58%,1.66%
57,Bronx,10457,"4,124","3,294",968,"$29,767 ",100.00%,36.26%,32.62%,31.13%,18.09%,44.98%,0.51%,0.98%,0.05%,32.18%,3.22%,1.73%,1.49%
58,Bronx,10459,"2,301","1,779",632,"$29,284 ",100.00%,38.91%,28.46%,32.63%,12.55%,32.71%,0.59%,0.55%,0.06%,49.92%,3.62%,1.82%,1.80%
59,Bronx,10461,"1,113",923,262,"$58,305 ",100.00%,34.28%,20.27%,45.45%,48.53%,9.42%,0.77%,12.28%,0.11%,23.97%,4.92%,2.45%,2.47%
60,Bronx,10463,"1,450","1,205",365,"$58,408 ",100.00%,32.56%,21.50%,45.94%,46.67%,16.27%,0.67%,3.90%,0.10%,26.29%,6.10%,1.86%,4.24%
61,New York,10463,326,246,53,,100.00%,32.56%,21.50%,45.94%,46.67%,16.27%,0.67%,3.90%,0.10%,26.29%,6.10%,1.86%,4.24%
62,Bronx,10465,563,438,81,"$75,617 ",100.00%,28.73%,12.02%,59.25%,58.82%,13.30%,0.03%,2.79%,0.02%,21.58%,3.45%,0.98%,2.46%
63,Bronx,10467,"4,171","3,339",956,"$39,372 ",100.00%,32.40%,26.53%,41.07%,24.05%,35.51%,0.62%,5.80%,0.08%,29.71%,4.23%,1.63%,2.60%
64,Bronx,10469,"1,365","1,105",209,"$65,399 ",100.00%,25.90%,13.57%,60.53%,17.62%,56.55%,0.63%,6.21%,0.00%,15.30%,3.69%,2.34%,1.35%
65,Bronx,10471,216,174,44,"$88,722 ",100.00%,23.85%,10.96%,65.20%,67.93%,11.19%,0.15%,5.65%,0.00%,10.49%,4.58%,1.46%,3.12%
66,Bronx,10472,"2,280","1,783",454,"$33,498 ",100.00%,34.68%,32.10%,33.22%,12.76%,27.40%,1.25%,8.12%,0.00%,46.84%,3.64%,1.17%,2.46%
67,Bronx,10473,"1,831","1,404",245,"$41,508 ",100.00%,37.18%,15.66%,47.17%,36.27%,39.49%,0.39%,1.55%,0.00%,18.02%,4.28%,2.01%,2.28%
68,Bronx,10474,528,451,114,"$22,965 ",100.00%,30.36%,31.77%,37.86%,9.69%,42.00%,0.56%,0.18%,0.00%,43.70%,3.88%,1.65%,2.23%
69,Bronx,10475,457,361,21,"$51,951 ",100.00%,20.94%,12.63%,66.44%,15.99%,64.34%,1.24%,2.44%,0.00%,10.99%,5.01%,1.86%,3.16%
70,Bronx,10550,1,,,,100.00%,14.46%,9.91%,75.63%,11.67%,74.91%,0.86%,1.68%,0.00%,8.27%,2.60%,1.84%,0.77%
71,Bronx,10705,1,1,,,100.00%,33.30%,25.12%,41.58%,41.89%,21.05%,1.05%,5.23%,0.00%,25.22%,5.55%,1.85%,3.70%
72,Queens,11001,28,21,5,"$113,300 ",100.00%,18.87%,13.72%,67.41%,64.40%,5.85%,0.38%,21.41%,0.00%,6.01%,1.95%,0.48%,1.47%
73,Queens,11004,51,43,10,"$95,436 ",100.00%,32.52%,14.22%,53.26%,41.01%,6.15%,0.50%,43.12%,0.34%,4.21%,4.68%,1.67%,3.01%
74,Queens,11040,7,6,,,100.00%,31.64%,16.47%,51.89%,49.72%,1.49%,0.45%,37.95%,0.25%,7.41%,2.74%,1.27%,1.46%
75,Queens,11101,728,552,86,"$75,581 ",100.00%,26.33%,19.68%,53.99%,42.02%,14.93%,0.80%,24.68%,0.20%,12.42%,4.94%,0.87%,4.07%
76,Queens,11102,626,513,92,"$71,382 ",100.00%,28.16%,23.14%,48.70%,60.13%,9.16%,0.08%,15.95%,0.04%,10.96%,3.67%,0.74%,2.93%
77,Queens,11103,640,516,112,"$76,234 ",100.00%,31.74%,20.68%,47.58%,70.15%,2.59%,0.19%,13.87%,0.11%,9.58%,3.51%,1.01%,2.49%
78,Queens,11104,482,399,86,"$67,751 ",100.00%,31.92%,29.84%,38.24%,62.93%,2.06%,0.32%,24.24%,0.00%,7.11%,3.34%,0.55%,2.80%
79,Queens,11105,533,430,90,"$79,883 ",100.00%,33.56%,18.94%,47.50%,76.97%,2.51%,0.07%,11.45%,0.00%,5.56%,3.43%,0.91%,2.52%
80,Queens,11106,737,602,80,"$68,530 ",100.00%,29.91%,23.70%,46.39%,53.34%,7.73%,0.16%,21.06%,0.02%,12.86%,4.83%,1.43%,3.40%
81,Queens,11109,40,33,7,"$160,625 ",100.00%,26.11%,18.25%,55.64%,65.02%,0.92%,0.00%,30.35%,0.00%,0.57%,3.14%,0.00%,3.14%
82,Kings,11201,572,457,63,"$129,248 ",100.00%,17.80%,6.34%,75.86%,64.25%,13.20%,0.32%,12.39%,0.08%,3.95%,5.81%,0.95%,4.86%
83,Kings,11203,"2,002","1,611",481,"$54,457 ",100.00%,12.65%,7.36%,80.00%,4.42%,88.98%,0.19%,1.83%,0.00%,2.93%,1.65%,0.50%,1.14%
84,Kings,11204,833,721,175,"$53,093 ",100.00%,35.61%,41.22%,23.17%,56.75%,1.25%,0.30%,32.96%,0.01%,6.64%,2.09%,0.29%,1.80%
85,Kings,11205,906,728,130,"$58,872 ",100.00%,24.56%,15.44%,60.00%,51.38%,31.00%,0.61%,6.33%,0.01%,6.71%,3.95%,0.62%,3.34%
86,Kings,11206,"2,283","1,811",346,"$39,753 ",100.00%,32.92%,22.76%,44.33%,46.44%,24.65%,0.59%,6.75%,0.14%,17.44%,3.98%,1.06%,2.93%
87,Kings,11207,"3,531","2,727",645,"$39,382 ",100.00%,20.41%,12.38%,67.22%,15.10%,65.25%,0.24%,1.79%,0.08%,15.19%,2.35%,0.73%,1.62%
88,Kings,11208,"3,401","2,723",528,"$42,403 ",100.00%,33.87%,15.95%,50.18%,27.23%,53.76%,0.21%,6.01%,0.06%,10.65%,2.08%,0.81%,1.28%
89,Kings,11209,"1,010",846,196,"$77,917 ",100.00%,26.94%,17.75%,55.31%,73.26%,3.17%,0.32%,13.25%,0.09%,5.86%,4.03%,1.14%,2.89%
90,Kings,11210,"1,317","1,036",206,"$69,385 ",100.00%,20.59%,11.96%,67.45%,31.66%,58.67%,0.09%,4.06%,0.00%,3.76%,1.76%,0.31%,1.45%
91,Kings,11211,"1,587","1,360",320,"$81,228 ",100.00%,33.62%,20.66%,45.73%,74.91%,6.46%,0.54%,5.59%,0.02%,9.05%,3.44%,0.90%,2.54%
92,Kings,11212,"3,622","2,833",598,"$26,521 ",100.00%,12.66%,8.96%,78.38%,8.44%,79.83%,0.09%,1.12%,0.06%,7.33%,3.13%,0.64%,2.49%
93,Kings,11213,"2,249","1,835",519,"$44,831 ",100.00%,16.30%,8.10%,75.60%,24.31%,65.21%,0.22%,2.31%,0.02%,4.60%,3.33%,0.55%,2.78%
94,Kings,11214,"1,097",912,207,"$56,911 ",100.00%,24.19%,48.67%,27.13%,47.95%,1.97%,0.28%,37.00%,0.01%,9.72%,3.07%,0.50%,2.57%
95,Kings,11215,291,242,63,"$132,091 ",100.00%,17.33%,5.27%,77.40%,77.28%,4.60%,0.16%,8.13%,0.00%,4.30%,5.54%,0.60%,4.94%
96,Kings,11216,"1,522","1,144",294,"$67,795 ",100.00%,13.72%,5.22%,81.06%,31.26%,53.99%,0.28%,5.30%,0.02%,4.35%,4.80%,0.65%,4.15%
97,Kings,11217,629,496,88,"$119,375 ",100.00%,18.91%,6.62%,74.47%,58.05%,20.35%,0.08%,8.39%,0.04%,8.18%,4.90%,0.48%,4.42%
98,Kings,11218,"1,054",887,203,"$73,470 ",100.00%,28.88%,24.11%,47.01%,60.62%,7.89%,0.58%,18.66%,0.00%,7.75%,4.51%,0.63%,3.88%
99,Kings,11219,"1,657","1,507",411,"$40,683 ",100.00%,37.59%,39.87%,22.55%,66.68%,1.19%,0.33%,23.77%,0.02%,7.05%,0.97%,0.30%,0.66%
100,Kings,11220,"1,101",908,200,"$50,191 ",100.00%,22.84%,60.53%,16.63%,31.13%,2.81%,0.45%,41.43%,0.00%,21.21%,2.96%,1.39%,1.57%
101,Kings,11221,"2,441","1,981",463,"$56,900 ",100.00%,21.36%,14.89%,63.76%,27.69%,46.94%,0.60%,3.48%,0.02%,17.42%,3.85%,1.26%,2.59%
102,Kings,11222,426,350,79,"$93,488 ",100.00%,20.44%,14.75%,64.81%,82.52%,3.58%,0.19%,4.39%,0.00%,4.61%,4.72%,1.48%,3.24%
103,Kings,11223,943,789,125,"$54,023 ",100.00%,21.78%,40.23%,38.00%,56.83%,4.67%,0.36%,25.15%,0.20%,9.40%,3.38%,0.20%,3.18%
104,Kings,11224,"1,099",859,86,"$32,549 ",100.00%,18.14%,41.31%,40.55%,57.32%,22.13%,0.16%,7.47%,0.01%,9.82%,3.09%,0.48%,2.61%
