,County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income,Total:,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
150,Queens,11417,447,370,59,"$76,868 ",100.00%,34.06%,19.83%,46.11%,36.17%,7.24%,0.25%,30.19%,0.02%,20.77%,5.36%,2.70%,2.66%
151,Queens,11418,620,512,106,"$68,920 ",100.00%,31.41%,30.33%,38.26%,39.48%,8.33%,0.87%,23.55%,0.00%,21.74%,6.04%,2.32%,3.72%
152,Queens,11419,548,438,84,"$75,835 ",100.00%,21.84%,17.33%,60.83%,9.58%,15.96%,0.90%,34.35%,0.07%,32.70%,6.44%,3.52%,2.93%
153,Queens,11420,604,496,95,"$79,273 ",100.00%,21.27%,11.83%,66.90%,16.69%,25.39%,0.99%,32.69%,0.25%,18.05%,5.93%,2.41%,3.52%
154,Queens,11421,591,467,95,"$73,107 ",100.00%,38.08%,31.74%,30.17%,41.40%,4.26%,0.66%,19.85%,0.00%,26.76%,7.09%,5.56%,1.53%
155,Queens,11422,413,338,86,"$88,130 ",100.00%,16.58%,7.75%,75.67%,6.40%,84.08%,1.05%,2.23%,0.00%,3.91%,2.34%,0.48%,1.86%
156,Queens,11423,544,437,102,"$71,194 ",100.00%,24.35%,16.98%,58.67%,13.01%,38.89%,0.37%,28.70%,0.00%,14.61%,4.41%,1.81%,2.60%
157,Queens,11426,97,80,14,"$98,987 ",100.00%,34.63%,22.49%,42.89%,37.02%,6.03%,0.42%,43.79%,0.00%,8.69%,4.04%,1.77%,2.28%
158,Queens,11427,249,196,38,"$79,385 ",100.00%,32.22%,23.62%,44.16%,26.80%,20.82%,1.20%,33.70%,0.00%,12.67%,4.82%,2.58%,2.24%
159,Queens,11428,203,158,29,"$78,368 ",100.00%,23.47%,20.48%,56.05%,20.98%,21.41%,0.41%,26.15%,0.23%,19.68%,11.15%,6.57%,4.58%
160,Queens,11429,318,251,53,"$88,300 ",100.00%,16.75%,14.76%,68.50%,3.93%,73.06%,0.83%,4.52%,0.12%,14.54%,2.99%,1.48%,1.51%
161,Queens,11432,"1,481","1,246",292,"$62,148 ",100.00%,36.03%,30.68%,33.29%,18.67%,16.15%,0.65%,42.53%,0.21%,17.05%,4.74%,1.39%,3.36%
162,Queens,11433,947,751,133,"$54,253 ",100.00%,11.53%,17.10%,71.37%,4.29%,64.43%,0.05%,9.67%,0.03%,19.25%,2.28%,0.73%,1.55%
163,Queens,11434,"1,332","1,081",193,"$64,087 ",100.00%,6.33%,4.27%,89.40%,3.61%,85.91%,0.05%,3.11%,0.00%,4.86%,2.46%,1.00%,1.47%
164,Queens,11435,"1,052",828,194,"$66,137 ",100.00%,24.46%,32.12%,43.42%,17.85%,24.42%,0.69%,23.36%,0.01%,29.78%,3.89%,1.52%,2.37%
165,Queens,11436,336,262,60,"$75,222 ",100.00%,11.41%,7.41%,81.18%,5.16%,62.87%,0.24%,9.07%,0.00%,16.99%,5.66%,2.76%,2.90%
166,Queens,11691,"1,888","1,485",344,"$50,267 ",100.00%,21.29%,13.77%,64.94%,36.99%,46.94%,0.27%,3.32%,0.06%,9.42%,3.01%,0.97%,2.04%
167,Queens,11692,863,676,59,"$46,819 ",100.00%,19.09%,12.69%,68.22%,22.28%,59.82%,0.82%,5.29%,0.00%,9.65%,2.14%,1.16%,0.98%
168,Queens,11693,273,214,41,"$60,569 ",100.00%,22.18%,17.57%,60.25%,61.27%,21.85%,0.00%,4.41%,0.00%,7.51%,4.96%,3.31%,1.65%
169,Queens,11694,271,216,48,"$84,485 ",100.00%,14.55%,6.79%,78.65%,82.05%,6.55%,1.02%,2.92%,0.00%,6.31%,1.14%,0.00%,1.14%
170,Queens,11697,1,,,"$105,750 ",100.00%,3.02%,0.33%,96.66%,94.99%,0.63%,0.00%,0.65%,0.00%,3.73%,0.00%,0.00%,0.00%
