Zipcode,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
10304,51.15%,29.00%,0.25%,11.07%,0.10%,6.95%,1.49%,0.47%,1.02%
10305,71.18%,7.39%,0.33%,14.89%,0.04%,3.95%,2.23%,0.15%,2.08%
10306,83.65%,3.43%,0.06%,7.33%,0.00%,2.43%,3.10%,0.47%,2.63%
10307,91.25%,0.42%,0.13%,4.55%,0.00%,2.66%,0.99%,0.00%,0.99%
10308,92.54%,1.19%,0.09%,4.99%,0.00%,0.66%,0.52%,0.08%,0.44%
10309,93.17%,0.70%,0.33%,3.36%,0.00%,1.46%,0.99%,0.28%,0.70%
10310,59.93%,21.42%,0.26%,5.73%,0.00%,9.03%,3.63%,1.08%,2.55%
10312,91.62%,0.91%,0.15%,5.34%,0.09%,0.86%,1.03%,0.02%,1.01%
10314,73.48%,3.72%,0.14%,16.94%,0.08%,3.00%,2.64%,0.74%,1.90%
10451,14.01%,39.73%,0.31%,1.36%,0.00%,39.39%,5.20%,2.09%,3.11%
10452,13.84%,32.62%,0.39%,1.68%,0.33%,47.22%,3.90%,1.38%,2.53%
10453,9.54%,33.61%,0.56%,1.49%,0.00%,51.38%,3.42%,1.40%,2.02%
10454,16.56%,33.19%,1.38%,0.28%,0.06%,45.42%,3.11%,1.93%,1.18%
10455,13.93%,30.39%,0.88%,0.93%,0.26%,50.36%,3.24%,1.58%,1.66%
10456,12.52%,46.31%,1.31%,0.66%,0.17%,35.62%,3.41%,1.33%,2.08%
10457,18.09%,44.98%,0.51%,0.98%,0.05%,32.18%,3.22%,1.73%,1.49%
10458,16.83%,19.02%,0.39%,3.02%,0.06%,56.87%,3.81%,1.84%,1.97%
10459,12.55%,32.71%,0.59%,0.55%,0.06%,49.92%,3.62%,1.82%,1.80%
10460,18.42%,34.34%,0.49%,1.50%,0.24%,41.44%,3.57%,1.64%,1.93%
10461,48.53%,9.42%,0.77%,12.28%,0.11%,23.97%,4.92%,2.45%,2.47%
10462,23.22%,28.71%,0.96%,13.57%,0.03%,28.48%,5.04%,1.78%,3.26%
10463,46.67%,16.27%,0.67%,3.90%,0.10%,26.29%,6.10%,1.86%,4.24%
10464,68.06%,0.02%,0.00%,5.01%,0.00%,23.42%,3.49%,3.49%,0.00%
10465,58.82%,13.30%,0.03%,2.79%,0.02%,21.58%,3.45%,0.98%,2.46%
10466,11.65%,71.50%,1.20%,2.84%,0.07%,10.02%,2.72%,0.78%,1.94%
10467,24.05%,35.51%,0.62%,5.80%,0.08%,29.71%,4.23%,1.63%,2.60%
10468,15.83%,25.25%,0.83%,2.32%,0.38%,52.36%,3.03%,1.32%,1.71%
10469,17.62%,56.55%,0.63%,6.21%,0.00%,15.30%,3.69%,2.34%,1.35%
10470,42.54%,42.78%,0.04%,2.95%,0.00%,8.72%,2.98%,1.04%,1.94%
10471,67.93%,11.19%,0.15%,5.65%,0.00%,10.49%,4.58%,1.46%,3.12%
10472,12.76%,27.40%,1.25%,8.12%,0.00%,46.84%,3.64%,1.17%,2.46%
10473,36.27%,39.49%,0.39%,1.55%,0.00%,18.02%,4.28%,2.01%,2.28%
10474,9.69%,42.00%,0.56%,0.18%,0.00%,43.70%,3.88%,1.65%,2.23%
10475,15.99%,64.34%,1.24%,2.44%,0.00%,10.99%,5.01%,1.86%,3.16%
10550,11.67%,74.91%,0.86%,1.68%,0.00%,8.27%,2.60%,1.84%,0.77%
10704,66.64%,14.45%,0.27%,7.01%,0.02%,9.32%,2.29%,0.55%,1.74%
10705,41.89%,21.05%,1.05%,5.23%,0.00%,25.22%,5.55%,1.85%,3.70%
10803,75.25%,9.33%,0.00%,7.75%,0.00%,3.27%,4.40%,0.34%,4.06%
11001,64.40%,5.85%,0.38%,21.41%,0.00%,6.01%,1.95%,0.48%,1.47%
11003,22.06%,48.26%,0.16%,13.42%,0.03%,11.18%,4.88%,2.03%,2.86%
11004,41.01%,6.15%,0.50%,43.12%,0.34%,4.21%,4.68%,1.67%,3.01%
11005,97.61%,0.00%,0.00%,2.39%,0.00%,0.00%,0.00%,0.00%,0.00%
11020,43.56%,10.39%,0.24%,42.41%,0.00%,1.91%,1.49%,0.00%,1.49%
11021,68.04%,2.22%,0.79%,24.36%,0.00%,2.53%,2.06%,0.05%,2.01%
11040,49.72%,1.49%,0.45%,37.95%,0.25%,7.41%,2.74%,1.27%,1.46%
11042,68.18%,24.51%,0.00%,4.35%,0.00%,1.58%,1.38%,0.00%,1.38%
11096,43.90%,20.20%,0.00%,4.68%,0.00%,30.24%,0.98%,0.57%,0.41%
11101,42.02%,14.93%,0.80%,24.68%,0.20%,12.42%,4.94%,0.87%,4.07%
11102,60.13%,9.16%,0.08%,15.95%,0.04%,10.96%,3.67%,0.74%,2.93%
11103,70.15%,2.59%,0.19%,13.87%,0.11%,9.58%,3.51%,1.01%,2.49%
11104,62.93%,2.06%,0.32%,24.24%,0.00%,7.11%,3.34%,0.55%,2.80%
11105,76.97%,2.51%,0.07%,11.45%,0.00%,5.56%,3.43%,0.91%,2.52%
