County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
New York,10039,"1,312","1,024",250,"$42,278 ",24.25%,16.02%,59.73%,14.18%,62.51%,0.44%,1.59%,0.04%,15.54%,5.70%,1.06%,4.65%
New York,10040,"1,255","1,020",330,"$49,677 ",34.93%,37.41%,27.67%,36.81%,9.85%,0.88%,2.98%,0.00%,42.49%,6.99%,2.11%,4.88%
New York,10044,155,125,5,"$104,808 ",34.72%,17.85%,47.43%,42.93%,12.60%,0.00%,34.28%,0.00%,4.61%,5.58%,2.33%,3.25%
New York,10065,197,168,34,"$148,441 ",21.45%,5.52%,73.03%,84.14%,2.34%,0.03%,11.46%,0.00%,0.55%,1.48%,0.11%,1.37%
New York,10069,83,68,19,"$132,500 ",26.89%,13.21%,59.90%,63.03%,3.77%,0.00%,29.33%,0.00%,0.00%,3.87%,0.78%,3.09%
New York,10075,128,105,21,"$138,640 ",26.33%,5.07%,68.60%,82.71%,3.17%,1.28%,6.11%,0.00%,3.44%,3.30%,0.00%,3.30%
New York,10128,453,350,71,"$121,829 ",26.15%,4.71%,69.13%,79.25%,3.56%,0.04%,9.91%,0.00%,3.16%,4.07%,0.94%,3.13%
New York,10162,13,12,1,,21.74%,0.00%,78.26%,91.86%,0.00%,0.00%,4.85%,0.00%,0.00%,3.30%,0.00%,3.30%
New York,10280,64,50,8,"$182,760 ",30.72%,4.83%,64.45%,75.15%,2.67%,0.98%,16.53%,0.00%,0.08%,4.58%,0.00%,4.58%
New York,10282,17,16,,"$250,001 ",20.18%,6.51%,73.31%,75.53%,0.99%,0.00%,19.89%,0.00%,0.24%,3.35%,0.00%,3.35%
Richmond,10301,829,676,179,"$62,052 ",19.92%,11.29%,68.79%,60.16%,23.57%,0.15%,6.32%,0.02%,5.16%,4.62%,0.55%,4.06%
Richmond,10302,310,261,74,"$66,096 ",27.88%,12.28%,59.84%,58.42%,21.98%,1.26%,9.43%,0.11%,5.93%,2.88%,1.15%,1.73%
Richmond,10303,519,411,84,"$67,215 ",31.26%,13.14%,55.60%,46.80%,34.28%,0.12%,7.73%,0.00%,8.01%,3.05%,0.46%,2.60%
Richmond,10304,886,677,180,"$54,199 ",25.36%,13.86%,60.78%,51.15%,29.00%,0.25%,11.07%,0.10%,6.95%,1.49%,0.47%,1.02%
Richmond,10305,385,306,72,"$79,742 ",27.25%,19.48%,53.27%,71.18%,7.39%,0.33%,14.89%,0.04%,3.95%,2.23%,0.15%,2.08%
Richmond,10306,423,348,96,"$80,834 ",20.48%,12.66%,66.86%,83.65%,3.43%,0.06%,7.33%,0.00%,2.43%,3.10%,0.47%,2.63%
Richmond,10308,125,97,24,"$103,027 ",13.88%,7.73%,78.39%,92.54%,1.19%,0.09%,4.99%,0.00%,0.66%,0.52%,0.08%,0.44%
Richmond,10310,382,300,88,"$76,075 ",22.99%,10.95%,66.05%,59.93%,21.42%,0.26%,5.73%,0.00%,9.03%,3.63%,1.08%,2.55%
Richmond,10312,218,179,57,"$97,407 ",13.23%,6.44%,80.33%,91.62%,0.91%,0.15%,5.34%,0.09%,0.86%,1.03%,0.02%,1.01%
Bronx,10451,"2,607","1,991",520,"$30,349 ",32.02%,28.63%,39.35%,14.01%,39.73%,0.31%,1.36%,0.00%,39.39%,5.20%,2.09%,3.11%
Bronx,10453,"4,411","3,568","1,008","$29,136 ",34.98%,35.93%,29.09%,9.54%,33.61%,0.56%,1.49%,0.00%,51.38%,3.42%,1.40%,2.02%
Bronx,10455,"1,943","1,503",421,"$28,585 ",39.28%,31.16%,29.57%,13.93%,30.39%,0.88%,0.93%,0.26%,50.36%,3.24%,1.58%,1.66%
Bronx,10457,"4,124","3,294",968,"$29,767 ",36.26%,32.62%,31.13%,18.09%,44.98%,0.51%,0.98%,0.05%,32.18%,3.22%,1.73%,1.49%
Bronx,10459,"2,301","1,779",632,"$29,284 ",38.91%,28.46%,32.63%,12.55%,32.71%,0.59%,0.55%,0.06%,49.92%,3.62%,1.82%,1.80%
Bronx,10461,"1,113",923,262,"$58,305 ",34.28%,20.27%,45.45%,48.53%,9.42%,0.77%,12.28%,0.11%,23.97%,4.92%,2.45%,2.47%
Bronx,10463,"1,450","1,205",365,"$58,408 ",32.56%,21.50%,45.94%,46.67%,16.27%,0.67%,3.90%,0.10%,26.29%,6.10%,1.86%,4.24%
New York,10463,326,246,53,,32.56%,21.50%,45.94%,46.67%,16.27%,0.67%,3.90%,0.10%,26.29%,6.10%,1.86%,4.24%
Bronx,10465,563,438,81,"$75,617 ",28.73%,12.02%,59.25%,58.82%,13.30%,0.03%,2.79%,0.02%,21.58%,3.45%,0.98%,2.46%
Bronx,10467,"4,171","3,339",956,"$39,372 ",32.40%,26.53%,41.07%,24.05%,35.51%,0.62%,5.80%,0.08%,29.71%,4.23%,1.63%,2.60%
Bronx,10469,"1,365","1,105",209,"$65,399 ",25.90%,13.57%,60.53%,17.62%,56.55%,0.63%,6.21%,0.00%,15.30%,3.69%,2.34%,1.35%
Bronx,10471,216,174,44,"$88,722 ",23.85%,10.96%,65.20%,67.93%,11.19%,0.15%,5.65%,0.00%,10.49%,4.58%,1.46%,3.12%
Bronx,10472,"2,280","1,783",454,"$33,498 ",34.68%,32.10%,33.22%,12.76%,27.40%,1.25%,8.12%,0.00%,46.84%,3.64%,1.17%,2.46%
Bronx,10473,"1,831","1,404",245,"$41,508 ",37.18%,15.66%,47.17%,36.27%,39.49%,0.39%,1.55%,0.00%,18.02%,4.28%,2.01%,2.28%
Bronx,10474,528,451,114,"$22,965 ",30.36%,31.77%,37.86%,9.69%,42.00%,0.56%,0.18%,0.00%,43.70%,3.88%,1.65%,2.23%
Bronx,10475,457,361,21,"$51,951 ",20.94%,12.63%,66.44%,15.99%,64.34%,1.24%,2.44%,0.00%,10.99%,5.01%,1.86%,3.16%
Bronx,10550,1,,,,14.46%,9.91%,75.63%,11.67%,74.91%,0.86%,1.68%,0.00%,8.27%,2.60%,1.84%,0.77%
Bronx,10705,1,1,,,33.30%,25.12%,41.58%,41.89%,21.05%,1.05%,5.23%,0.00%,25.22%,5.55%,1.85%,3.70%
Queens,11001,28,21,5,"$113,300 ",18.87%,13.72%,67.41%,64.40%,5.85%,0.38%,21.41%,0.00%,6.01%,1.95%,0.48%,1.47%
Queens,11004,51,43,10,"$95,436 ",32.52%,14.22%,53.26%,41.01%,6.15%,0.50%,43.12%,0.34%,4.21%,4.68%,1.67%,3.01%
Queens,11040,7,6,,,31.64%,16.47%,51.89%,49.72%,1.49%,0.45%,37.95%,0.25%,7.41%,2.74%,1.27%,1.46%
Queens,11101,728,552,86,"$75,581 ",26.33%,19.68%,53.99%,42.02%,14.93%,0.80%,24.68%,0.20%,12.42%,4.94%,0.87%,4.07%
Queens,11102,626,513,92,"$71,382 ",28.16%,23.14%,48.70%,60.13%,9.16%,0.08%,15.95%,0.04%,10.96%,3.67%,0.74%,2.93%
Queens,11103,640,516,112,"$76,234 ",31.74%,20.68%,47.58%,70.15%,2.59%,0.19%,13.87%,0.11%,9.58%,3.51%,1.01%,2.49%
Queens,11104,482,399,86,"$67,751 ",31.92%,29.84%,38.24%,62.93%,2.06%,0.32%,24.24%,0.00%,7.11%,3.34%,0.55%,2.80%
Queens,11105,533,430,90,"$79,883 ",33.56%,18.94%,47.50%,76.97%,2.51%,0.07%,11.45%,0.00%,5.56%,3.43%,0.91%,2.52%
Queens,11106,737,602,80,"$68,530 ",29.91%,23.70%,46.39%,53.34%,7.73%,0.16%,21.06%,0.02%,12.86%,4.83%,1.43%,3.40%
Queens,11109,40,33,7,"$160,625 ",26.11%,18.25%,55.64%,65.02%,0.92%,0.00%,30.35%,0.00%,0.57%,3.14%,0.00%,3.14%
Kings,11201,572,457,63,"$129,248 ",17.80%,6.34%,75.86%,64.25%,13.20%,0.32%,12.39%,0.08%,3.95%,5.81%,0.95%,4.86%
Kings,11203,"2,002","1,611",481,"$54,457 ",12.65%,7.36%,80.00%,4.42%,88.98%,0.19%,1.83%,0.00%,2.93%,1.65%,0.50%,1.14%
Kings,11204,833,721,175,"$53,093 ",35.61%,41.22%,23.17%,56.75%,1.25%,0.30%,32.96%,0.01%,6.64%,2.09%,0.29%,1.80%
Kings,11205,906,728,130,"$58,872 ",24.56%,15.44%,60.00%,51.38%,31.00%,0.61%,6.33%,0.01%,6.71%,3.95%,0.62%,3.34%
Kings,11206,"2,283","1,811",346,"$39,753 ",32.92%,22.76%,44.33%,46.44%,24.65%,0.59%,6.75%,0.14%,17.44%,3.98%,1.06%,2.93%
Kings,11207,"3,531","2,727",645,"$39,382 ",20.41%,12.38%,67.22%,15.10%,65.25%,0.24%,1.79%,0.08%,15.19%,2.35%,0.73%,1.62%
Kings,11208,"3,401","2,723",528,"$42,403 ",33.87%,15.95%,50.18%,27.23%,53.76%,0.21%,6.01%,0.06%,10.65%,2.08%,0.81%,1.28%
Kings,11209,"1,010",846,196,"$77,917 ",26.94%,17.75%,55.31%,73.26%,3.17%,0.32%,13.25%,0.09%,5.86%,4.03%,1.14%,2.89%
Kings,11210,"1,317","1,036",206,"$69,385 ",20.59%,11.96%,67.45%,31.66%,58.67%,0.09%,4.06%,0.00%,3.76%,1.76%,0.31%,1.45%
Kings,11211,"1,587","1,360",320,"$81,228 ",33.62%,20.66%,45.73%,74.91%,6.46%,0.54%,5.59%,0.02%,9.05%,3.44%,0.90%,2.54%
Kings,11212,"3,622","2,833",598,"$26,521 ",12.66%,8.96%,78.38%,8.44%,79.83%,0.09%,1.12%,0.06%,7.33%,3.13%,0.64%,2.49%
Kings,11213,"2,249","1,835",519,"$44,831 ",16.30%,8.10%,75.60%,24.31%,65.21%,0.22%,2.31%,0.02%,4.60%,3.33%,0.55%,2.78%
Kings,11214,"1,097",912,207,"$56,911 ",24.19%,48.67%,27.13%,47.95%,1.97%,0.28%,37.00%,0.01%,9.72%,3.07%,0.50%,2.57%
Kings,11215,291,242,63,"$132,091 ",17.33%,5.27%,77.40%,77.28%,4.60%,0.16%,8.13%,0.00%,4.30%,5.54%,0.60%,4.94%
Kings,11216,"1,522","1,144",294,"$67,795 ",13.72%,5.22%,81.06%,31.26%,53.99%,0.28%,5.30%,0.02%,4.35%,4.80%,0.65%,4.15%
Kings,11217,629,496,88,"$119,375 ",18.91%,6.62%,74.47%,58.05%,20.35%,0.08%,8.39%,0.04%,8.18%,4.90%,0.48%,4.42%
Kings,11218,"1,054",887,203,"$73,470 ",28.88%,24.11%,47.01%,60.62%,7.89%,0.58%,18.66%,0.00%,7.75%,4.51%,0.63%,3.88%
Kings,11219,"1,657","1,507",411,"$40,683 ",37.59%,39.87%,22.55%,66.68%,1.19%,0.33%,23.77%,0.02%,7.05%,0.97%,0.30%,0.66%
Kings,11220,"1,101",908,200,"$50,191 ",22.84%,60.53%,16.63%,31.13%,2.81%,0.45%,41.43%,0.00%,21.21%,2.96%,1.39%,1.57%
Kings,11221,"2,441","1,981",463,"$56,900 ",21.36%,14.89%,63.76%,27.69%,46.94%,0.60%,3.48%,0.02%,17.42%,3.85%,1.26%,2.59%
Kings,11222,426,350,79,"$93,488 ",20.44%,14.75%,64.81%,82.52%,3.58%,0.19%,4.39%,0.00%,4.61%,4.72%,1.48%,3.24%
Kings,11223,943,789,125,"$54,023 ",21.78%,40.23%,38.00%,56.83%,4.67%,0.36%,25.15%,0.20%,9.40%,3.38%,0.20%,3.18%
Kings,11224,"1,099",859,86,"$32,549 ",18.14%,41.31%,40.55%,57.32%,22.13%,0.16%,7.47%,0.01%,9.82%,3.09%,0.48%,2.61%
Kings,11225,"1,563","1,270",346,"$59,820 ",19.72%,7.99%,72.29%,28.49%,60.91%,0.23%,2.84%,0.00%,4.26%,3.27%,0.81%,2.46%
Kings,11226,"3,194","2,623",830,"$58,257 ",22.51%,14.31%,63.18%,15.99%,67.98%,0.30%,3.09%,0.00%,10.40%,2.24%,0.45%,1.79%
Kings,11228,295,254,52,"$72,902 ",27.96%,32.24%,39.80%,53.82%,1.29%,0.16%,37.47%,0.08%,4.84%,2.35%,0.76%,1.58%
Kings,11229,"1,030",823,143,"$64,631 ",24.01%,33.30%,42.69%,63.77%,6.14%,0.25%,22.99%,0.05%,3.92%,2.88%,0.22%,2.65%
Kings,11230,"1,417","1,191",283,"$53,070 ",24.23%,29.98%,45.79%,71.11%,7.44%,0.39%,13.31%,0.03%,4.70%,3.01%,0.41%,2.60%
Kings,11231,586,443,61,"$99,643 ",17.14%,7.94%,74.92%,66.31%,15.30%,0.57%,5.87%,0.80%,6.08%,5.07%,0.52%,4.55%
Kings,11232,357,298,89,"$61,200 ",28.89%,35.11%,36.00%,44.83%,7.19%,1.48%,18.57%,0.07%,23.44%,4.43%,1.00%,3.43%
Kings,11233,"2,862","2,233",592,"$44,905 ",13.84%,5.75%,80.40%,10.95%,76.99%,0.11%,1.94%,0.02%,7.76%,2.23%,0.34%,1.89%
Kings,11234,"1,004",810,162,"$85,807 ",21.50%,13.67%,64.84%,41.24%,45.28%,0.31%,7.25%,0.00%,4.28%,1.64%,0.40%,1.24%
Kings,11235,"1,036",878,172,"$54,646 ",23.58%,51.45%,24.97%,75.45%,2.17%,0.10%,13.67%,0.00%,4.90%,3.71%,0.22%,3.49%
Kings,11236,"1,998","1,553",299,"$70,793 ",15.79%,8.87%,75.34%,5.73%,85.98%,0.12%,2.69%,0.01%,4.07%,1.41%,0.28%,1.13%
Kings,11237,953,787,201,"$53,303 ",36.45%,28.37%,35.18%,37.19%,13.82%,1.19%,6.84%,0.10%,36.97%,3.89%,1.55%,2.34%
Queens,11237,1,1,,,36.45%,28.37%,35.18%,37.19%,13.82%,1.19%,6.84%,0.10%,36.97%,3.89%,1.55%,2.34%
Kings,11238,905,714,182,"$91,846 ",16.16%,4.95%,78.89%,49.89%,34.11%,0.07%,5.98%,0.03%,4.20%,5.73%,0.74%,4.99%
Kings,11239,491,379,45,"$29,172 ",13.92%,23.26%,62.82%,29.68%,58.69%,2.00%,3.82%,0.00%,4.58%,1.22%,0.31%,0.92%
Queens,11354,700,568,95,"$40,786 ",15.94%,62.45%,21.61%,19.95%,3.19%,0.20%,64.07%,0.01%,9.49%,3.08%,1.06%,2.03%
Queens,11355,"1,058",873,151,"$42,507 ",16.74%,69.20%,14.05%,12.41%,3.36%,0.53%,72.58%,0.04%,8.95%,2.12%,0.84%,1.29%
Queens,11356,368,302,71,"$61,859 ",19.37%,50.91%,29.72%,31.49%,2.39%,0.19%,32.23%,0.32%,28.79%,4.59%,2.47%,2.12%
Queens,11357,194,158,24,"$85,818 ",25.77%,23.56%,50.66%,68.58%,0.62%,0.10%,23.27%,0.04%,4.91%,2.48%,0.62%,1.87%
Queens,11358,355,302,59,"$68,848 ",23.59%,44.23%,32.18%,41.55%,0.83%,0.47%,47.58%,0.00%,6.85%,2.71%,0.51%,2.20%
Queens,11360,78,64,18,"$83,063 ",26.29%,24.52%,49.19%,57.04%,1.16%,0.12%,37.02%,0.00%,3.13%,1.54%,0.63%,0.91%
Queens,11361,217,177,33,"$87,892 ",27.85%,28.24%,43.91%,48.53%,4.35%,0.03%,41.35%,0.00%,4.30%,1.44%,0.40%,1.04%
Queens,11362,48,39,4,"$93,333 ",29.16%,26.20%,44.64%,48.83%,3.39%,0.00%,41.69%,0.00%,3.32%,2.78%,0.08%,2.70%
Queens,11363,37,32,2,"$101,019 ",29.70%,18.05%,52.26%,57.71%,1.94%,0.00%,33.67%,0.00%,4.13%,2.55%,0.00%,2.55%
Queens,11364,173,148,36,"$82,028 ",26.78%,30.86%,42.36%,40.03%,3.82%,0.83%,50.28%,0.01%,3.05%,1.97%,0.14%,1.83%
Queens,11365,589,467,59,"$67,642 ",29.23%,31.19%,39.58%,33.26%,9.53%,0.39%,44.41%,0.03%,7.63%,4.74%,2.24%,2.50%
Queens,11366,106,88,16,"$84,301 ",34.71%,30.65%,34.64%,41.84%,5.85%,0.00%,44.02%,0.00%,5.31%,2.99%,0.12%,2.87%
Queens,11367,568,460,73,"$63,546 ",27.85%,29.12%,43.03%,54.69%,7.28%,0.51%,27.28%,0.00%,5.65%,4.59%,0.86%,3.73%
Queens,11368,"2,067","1,670",483,"$54,211 ",32.29%,55.28%,12.43%,36.44%,9.25%,0.80%,12.16%,0.01%,38.74%,2.61%,1.04%,1.57%
Queens,11369,578,463,85,"$54,184 ",31.93%,40.90%,27.18%,25.96%,17.14%,0.32%,13.13%,0.02%,39.94%,3.48%,1.32%,2.16%
Queens,11370,368,300,50,"$63,706 ",29.27%,33.18%,37.54%,42.08%,14.35%,1.24%,22.69%,0.00%,17.52%,2.11%,0.68%,1.43%
Queens,11372,"1,186",983,255,"$60,659 ",33.26%,46.06%,20.68%,54.42%,2.75%,0.35%,21.04%,0.13%,17.65%,3.66%,1.37%,2.29%
Queens,11373,"1,552","1,281",279,"$54,584 ",35.57%,51.50%,12.93%,17.90%,2.01%,0.69%,48.72%,0.01%,28.28%,2.40%,1.13%,1.27%
Queens,11374,583,495,112,"$66,795 ",36.52%,31.90%,31.58%,53.42%,4.24%,0.10%,31.57%,0.00%,5.20%,5.46%,0.77%,4.69%
Queens,11375,571,497,89,"$84,713 ",35.12%,21.96%,42.92%,60.01%,2.70%,0.20%,28.80%,0.00%,3.37%,4.92%,0.72%,4.20%
Queens,11377,"1,482","1,232",219,"$58,948 ",32.07%,43.11%,24.83%,47.24%,3.01%,0.42%,37.13%,0.00%,8.96%,3.24%,0.96%,2.28%
Queens,11378,396,336,64,"$77,710 ",32.97%,24.94%,42.09%,71.88%,1.82%,0.39%,10.27%,0.08%,12.01%,3.54%,1.69%,1.85%
Queens,11379,295,240,55,"$83,883 ",30.13%,18.96%,50.91%,77.84%,1.11%,0.31%,11.03%,0.00%,7.13%,2.59%,1.11%,1.48%
Queens,11385,"1,344","1,088",242,"$75,340 ",34.02%,24.67%,41.31%,80.95%,2.62%,0.17%,6.52%,0.00%,7.10%,2.63%,0.81%,1.82%
Queens,11411,199,151,22,"$98,207 ",14.53%,5.78%,79.69%,3.24%,92.85%,0.07%,0.27%,0.00%,2.13%,1.44%,0.85%,0.59%
Queens,11412,605,478,93,"$81,608 ",8.19%,5.72%,86.09%,2.50%,87.88%,0.72%,2.57%,0.24%,4.15%,1.94%,0.48%,1.46%
Queens,11413,629,511,101,"$93,432 ",8.05%,4.71%,87.24%,2.42%,91.46%,0.36%,1.21%,0.14%,2.97%,1.44%,0.36%,1.08%
Queens,11414,195,155,33,"$75,471 ",22.35%,10.22%,67.43%,80.50%,2.64%,0.00%,4.23%,0.00%,7.09%,5.55%,2.94%,2.61%
Queens,11415,316,269,72,"$70,900 ",33.33%,20.65%,46.03%,60.68%,6.99%,1.10%,16.24%,0.08%,11.16%,3.76%,0.89%,2.87%
Queens,11416,508,396,76,"$73,370 ",35.82%,24.42%,39.76%,28.29%,6.22%,0.05%,33.07%,0.11%,25.15%,7.10%,4.30%,2.80%
Queens,11417,447,370,59,"$76,868 ",34.06%,19.83%,46.11%,36.17%,7.24%,0.25%,30.19%,0.02%,20.77%,5.36%,2.70%,2.66%
Queens,11418,620,512,106,"$68,920 ",31.41%,30.33%,38.26%,39.48%,8.33%,0.87%,23.55%,0.00%,21.74%,6.04%,2.32%,3.72%
Queens,11419,548,438,84,"$75,835 ",21.84%,17.33%,60.83%,9.58%,15.96%,0.90%,34.35%,0.07%,32.70%,6.44%,3.52%,2.93%
Queens,11420,604,496,95,"$79,273 ",21.27%,11.83%,66.90%,16.69%,25.39%,0.99%,32.69%,0.25%,18.05%,5.93%,2.41%,3.52%
Queens,11421,591,467,95,"$73,107 ",38.08%,31.74%,30.17%,41.40%,4.26%,0.66%,19.85%,0.00%,26.76%,7.09%,5.56%,1.53%
Queens,11422,413,338,86,"$88,130 ",16.58%,7.75%,75.67%,6.40%,84.08%,1.05%,2.23%,0.00%,3.91%,2.34%,0.48%,1.86%
Queens,11423,544,437,102,"$71,194 ",24.35%,16.98%,58.67%,13.01%,38.89%,0.37%,28.70%,0.00%,14.61%,4.41%,1.81%,2.60%
Queens,11426,97,80,14,"$98,987 ",34.63%,22.49%,42.89%,37.02%,6.03%,0.42%,43.79%,0.00%,8.69%,4.04%,1.77%,2.28%
Queens,11427,249,196,38,"$79,385 ",32.22%,23.62%,44.16%,26.80%,20.82%,1.20%,33.70%,0.00%,12.67%,4.82%,2.58%,2.24%
Queens,11428,203,158,29,"$78,368 ",23.47%,20.48%,56.05%,20.98%,21.41%,0.41%,26.15%,0.23%,19.68%,11.15%,6.57%,4.58%
Queens,11429,318,251,53,"$88,300 ",16.75%,14.76%,68.50%,3.93%,73.06%,0.83%,4.52%,0.12%,14.54%,2.99%,1.48%,1.51%
Queens,11432,"1,481","1,246",292,"$62,148 ",36.03%,30.68%,33.29%,18.67%,16.15%,0.65%,42.53%,0.21%,17.05%,4.74%,1.39%,3.36%
Queens,11433,947,751,133,"$54,253 ",11.53%,17.10%,71.37%,4.29%,64.43%,0.05%,9.67%,0.03%,19.25%,2.28%,0.73%,1.55%
Queens,11434,"1,332","1,081",193,"$64,087 ",6.33%,4.27%,89.40%,3.61%,85.91%,0.05%,3.11%,0.00%,4.86%,2.46%,1.00%,1.47%
Queens,11435,"1,052",828,194,"$66,137 ",24.46%,32.12%,43.42%,17.85%,24.42%,0.69%,23.36%,0.01%,29.78%,3.89%,1.52%,2.37%
Queens,11436,336,262,60,"$75,222 ",11.41%,7.41%,81.18%,5.16%,62.87%,0.24%,9.07%,0.00%,16.99%,5.66%,2.76%,2.90%
